Scenario,Model,Automation,Hosting,P3_Scope,Setup_Cost,Monthly_Fixed,Monthly_Variable_Pct,Fixed_6mo,Variable_6mo,Conservative_Revenue_6mo,Gross_After_Fees_6mo,Total_Cost_6mo,Net_6mo_Cash,Break_Even_Days,Recovery_10k_Date,Success_Probability,Risk_Level,CTMO_Setup_Hours,COO_Capacity_Required,Infrastructure_Complexity,Autonomous_Operation_Ready,CFO_Confidence,Notes
1,Current,Zapier,Bluehost,Hero,$237,$37,$75,$228,$75,$2500,$1850,$303,$1547,26,Aug 10,70%,MEDIUM,2,15,MEDIUM,70%,MEDIUM,"P2 single point of failure, higher cost"
2,Current,Zapier,Bluehost,3-site,$264,$48,$105,$288,$105,$2400,$1700,$393,$1307,31,Aug 27,60%,HIGH,3,25,HIGH,60%,LOW,"P2 + 3-site burden, highest cost, slowest payback"
3,Current,Zapier,Open-source,Hero,$212,$28,$75,$168,$75,$2500,$1850,$243,$1607,19,Aug 3,75%,MEDIUM,2,15,LOW,75%,MEDIUM-HIGH,"Lower cost than #1, same revenue risk"
4,Current,Zapier,Open-source,3-site,$239,$39,$105,$228,$105,$2400,$1700,$333,$1367,24,Aug 20,65%,HIGH,3,25,MEDIUM,65%,LOW,"3-site increases burden without clear ROI"
5,Current,n8n,Bluehost,Hero,$212,$28,$75,$168,$75,$2500,$1850,$243,$1607,19,Aug 3,75%,LOW,4,15,MEDIUM,80%,MEDIUM-HIGH,"Lower than #1 by $150/mo automation"
6,Current,n8n,Bluehost,3-site,$239,$39,$105,$228,$105,$2400,$1700,$333,$1367,24,Aug 20,65%,MEDIUM,5,25,MEDIUM,70%,MEDIUM,"n8n + 3-site but P2 risk remains"
7,Current,n8n,Open-source,Hero,$187,$17,$75,$102,$75,$2500,$1850,$177,$1673,11,Jul 28,80%,LOW,5,15,LOW,85%,HIGH,"Cheapest Current model, excellent breakeven"
8,Current,n8n,Open-source,3-site,$214,$28,$105,$168,$105,$2400,$1700,$273,$1427,16,Aug 12,70%,LOW,6,25,LOW,80%,MEDIUM,"n8n + open-source + 3-site, but P2 risk"
9,Hybrid,Zapier,Bluehost,Hero,$232,$38,$60,$228,$60,$6050,$5075,$288,$4787,22,Jun 20,80%,LOW,2,12,MEDIUM,85%,HIGH,"Good hybrid option, but higher Zapier cost"
10,Hybrid,Zapier,Bluehost,3-site,$259,$49,$90,$294,$90,$5950,$4975,$384,$4591,28,Jun 25,75%,MEDIUM,3,20,MEDIUM,80%,MEDIUM,"Hybrid + 3-site: benefits not justified"
11,Hybrid,Zapier,Open-source,Hero,$207,$29,$60,$174,$60,$6050,$5075,$234,$4841,14,Jun 15,85%,LOW,2,12,LOW,90%,HIGH,"Excellent hybrid option, lower cost"
12,Hybrid,n8n,Bluehost,Hero,$207,$29,$60,$174,$60,$6050,$5075,$234,$4841,14,Jun 15,85%,LOW,8,12,MEDIUM,90%,HIGH,"Same as #11 with Bluehost backup"
13,Hybrid,n8n,Open-source,Hero,$182,$18,$60,$108,$60,$6050,$5075,$168,$4907,8,Jun 10,90%,LOWEST,8,12,LOW,95%,HIGHEST,"**RECOMMENDED** Lowest cost + highest revenue + fastest payback"
14,Hybrid,n8n,Open-source,3-site,$209,$29,$90,$174,$90,$5950,$4975,$264,$4711,12,Jun 12,85%,LOW,9,20,LOW,90%,HIGH,"n8n + hybrid, but 3-site not justified"
15,Hybrid,Zapier,Open-source,3-site,$234,$40,$90,$240,$90,$5950,$4975,$330,$4645,19,Jun 18,80%,MEDIUM,2,20,LOW,85%,MEDIUM,"Zapier + 3-site: ok but #13 better"
16,Hybrid,n8n,Bluehost,3-site,$234,$40,$90,$240,$90,$5950,$4975,$330,$4645,19,Jun 18,85%,MEDIUM,9,20,MEDIUM,85%,HIGH,"n8n + Bluehost + 3-site but revenue same"
